Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax
49ers,2017,6,10,0,Bad,1280189,2825514,13826473,3831656,25655347,47419179,26769176,8945957,9535769,6609065,51859967,3563550,64157304,102842696,167000000
Bears,2017,5,11,0,Bad,21278625,2385295,14645439,9938090,32573770,80821219,14795376,28878078,7234912,17788027,68696393,1641621,15840767,151159233,167000000
Bengals,2017,7,9,0,Mediocre,16798413,7569296,24430688,9413806,17262341,75474544,26745381,17613896,10969118,22900422,78228817,4990000,8306639,158693361,167000000
Bills,2017,9,7,0,Mediocre,10238211,11190118,6496909,11467859,35796366,75189463,24044258,7077973,7686153,5801497,44609881,4215000,42985656,124014344,167000000
Broncos,2017,5,11,0,Bad,3920973,6090264,25054318,4832368,23704519,63602442,18044284,32420662,9142236,24273641,83880823,3350002,16166733,150833267,167000000
Browns,2017,0,16,0,Bad,2209957,4470494,5198547,3254760,41615803,56749561,14727750,21613135,3882857,7163759,47387501,5102289,57760649,109239351,167000000
Buccaneers,2017,5,11,0,Bad,11738985,8969129,18804531,3178912,23495847,66187404,39983769,8819460,8500031,17764740,75068000,4996176,20748420,146251580,167000000
Cardinals,2017,8,8,0,Mediocre,29489118,3666976,20439056,6097469,28917997,88610616,23052981,9589711,15728455,21047533,69418680,4403147,4567557,162432443,167000000
Chargers,2017,9,7,0,Mediocre,19155000,5059879,20577484,8986982,21644924,75424269,38269110,7831143,6553828,9329846,61983927,1688162,27903642,139096358,167000000
Chiefs,2017,10,6,0,Good,21205288,4243728,5474701,7192941,25611612,63728270,16972578,42525432,14053421,6828257,80379688,6007941,16884101,150115899,167000000
Colts,2017,4,12,0,Bad,22129791,6704574,15603598,10039875,20295961,74773799,34099351,5100805,7567614,4398800,51166570,3219000,37840631,129159369,167000000
Cowboys,2017,9,7,0,Mediocre,1782314,7879602,26062634,16565097,23737956,76027603,22155694,13571954,3098994,10844663,49671305,6770000,34531092,132468908,167000000
Dolphins,2017,6,10,0,Bad,33058282,3310080,9776316,9519411,22688764,78352853,41429457,12498805,11301524,5758889,70988675,1851333,15807139,151192861,167000000
Eagles,2017,13,3,0,Good,7948686,7712155,20433394,10106000,34671590,80871825,36720213,14705805,14776850,4361412,70564280,2352647,13211248,153788752,167000000
Falcons,2017,10,6,0,Good,27422800,5928217,28103286,4019531,25953036,91426870,29464935,8613729,6018899,16072634,60170197,6663334,8739599,158260401,167000000
Giants,2017,3,13,0,Bad,21444105,6721041,14572454,4806305,21971246,69515151,22683693,28902142,3870386,27976841,83433062,3565000,10486787,156513213,167000000
Jaguars,2017,10,6,0,Good,10071983,13662006,13512773,7480525,24024663,68751950,45148547,13216415,15958866,13849553,88173381,2489412,7585257,159414743,167000000
Jets,2017,5,11,0,Bad,8334184,10310192,8058956,2443262,29743163,58889757,29879586,11207483,6921694,16360022,64368785,1923948,41817510,125182490,167000000
Lions,2017,9,7,0,Mediocre,17047200,5553764,18671297,5529031,23027789,69829081,29979802,12028037,11021745,17917711,70947295,9245000,16978624,150021376,167000000
Packers,2017,7,9,0,Mediocre,21034437,2394382,31501629,3754657,28553585,87238690,14712089,28733407,11727962,9272758,64446216,4437254,10877840,156122160,167000000
Panthers,2017,11,5,0,Good,22710632,11316345,7593965,15861068,22836833,80318843,34906236,27237850,7693071,6607630,76444787,5580000,4656370,162343630,167000000
Patriots,2017,13,3,0,Good,14476471,11010522,18838336,12917262,22196744,79439335,13431002,15560517,23735041,16603309,69329869,7085000,11145796,155854204,167000000
Raiders,2017,6,10,0,Bad,17066663,3913937,21228435,8513978,43133182,93856195,20946096,3913692,11365174,22873492,59098454,3710000,10335351,156664649,167000000
Rams,2017,11,5,0,Good,7755133,6953354,25219237,3237501,20325435,63490660,19055848,33738804,4664589,22677275,80136516,2351257,21021567,145978433,167000000
Ravens,2017,9,7,0,Mediocre,26742000,5270289,16212624,5393387,23346656,76964956,8609329,16621928,12619611,15031988,52882856,7246666,29905522,137094478,167000000
Redskins,2017,7,9,0,Mediocre,27543600,4474359,10894949,11840649,35081227,89834784,12451986,25200700,6606862,24425407,68684955,3242500,5237761,161762239,167000000
Saints,2017,11,5,0,Good,20365000,6649958,7172234,13281931,32749192,80218315,23177867,11368168,9465615,5035764,49047414,5240000,32494271,134505729,167000000
Seahawks,2017,9,7,0,Mediocre,15443870,5565665,8724467,12553573,21118436,63406011,31095258,18261753,20890487,23142234,93389732,3174375,7029882,159970118,167000000
Steelers,2017,13,3,0,Good,21004781,13113454,17778997,3945253,39055012,94897497,15833947,15090413,12475138,11466541,54866039,1770000,15466464,151533536,167000000
Texans,2017,4,12,0,Bad,3855907,9441681,22653336,10632622,20476207,67059753,17826431,24809067,10598898,21425963,74660359,3417500,21862388,145137612,167000000
Titans,2017,9,7,0,Mediocre,10351646,8746428,19514493,7486458,17127063,63226088,20991161,32215404,13657831,15276846,82141242,7284668,14348002,152651998,167000000
Vikings,2017,13,3,0,Good,22523284,6109029,10830686,7988864,19431712,66883575,32237754,10635653,11466277,21360634,75700318,1577353,22838754,144161246,167000000
49ers,2018,4,12,0,Bad,38197259,8311842,18448916,3643398,33769652,102371067,26561491,8852841,5634527,19623596,60672455,3134138,11022340,166177660,177200000
Bears,2018,12,4,0,Good,10598281,2865819,25821639,15662132,27038059,81985930,16269909,38170202,4184476,18514959,77139546,5942500,12132024,165067976,177200000
Bengals,2018,6,10,0,Bad,17198153,6168245,22333466,9109741,26761854,81571459,39566157,18408108,6643766,22735864,87353895,4725000,3549646,173650354,177200000
Bills,2018,6,10,0,Bad,4972932,12700103,3135006,10226000,13535618,44569659,32407961,8735891,13024446,6815311,60983609,3740294,67906438,109293562,177200000
Broncos,2018,6,10,0,Bad,15706000,1963621,14510892,2980830,27685340,62846683,19610747,34814194,9032891,23101585,86559417,4497055,23296845,153903155,177200000
Browns,2018,7,8,1,Mediocre,24442360,5651728,19436865,7333699,34889282,91753934,16529922,21320019,5640141,18933305,62423387,3678529,19344150,157855850,177200000
Buccaneers,2018,5,11,0,Bad,12616903,3981361,34124743,10224401,25173502,86120910,52559981,14813639,6026118,15212917,88612655,3889412,-1422977,178622977,177200000
Cardinals,2018,3,13,0,Bad,5229993,6642019,21383544,8338914,16805889,58400359,25414873,16503217,8859951,16131635,66909676,3674485,48215480,128984520,177200000
Chargers,2018,12,4,0,Good,23129200,4755413,25433190,7068484,27984393,88370680,36279780,7394631,10693090,17921985,72289486,1777645,14762189,162437811,177200000
Chiefs,2018,12,4,0,Good,6462373,3839568,13410657,13224159,34676355,71613112,13806414,37313414,20988021,5449388,77557237,3085000,24944651,152255349,177200000
Colts,2018,10,6,0,Good,25722676,2083712,20549797,13375573,25505806,87237564,23924867,3849218,6461829,5307934,39543848,4184000,46234588,130965412,177200000
Cowboys,2018,10,6,0,Good,1816903,7705768,17811897,2372304,43159686,72866558,35783993,18325353,4990347,5642991,64742684,2900000,36690758,140509242,177200000
Dolphins,2018,7,9,0,Mediocre,10507195,4122610,25766603,4425226,30559407,75381041,43433317,14286351,11817797,5181370,74718835,1689133,25410991,151789009,177200000
